code,name,industry,inflow_days,total_days,inflow_ratio,total_inflow,avg_daily_inflow,reason,holders_decreased,holder_change_desc
002352.SZ,顺丰控股,仓储物流,3,4,75.0,0.5,0.13,近4天资金净流入3天，累计净流入0.5亿元,True,20250331较20250228: 减少11063户(6.18%)
000651.SZ,格力电器,家用电器,3,4,75.0,0.34,0.08,近4天资金净流入3天，累计净流入0.34亿元,True,20250331较20241231: 减少20659户(4.85%)
002142.SZ,宁波银行,银行,3,4,75.0,2.58,0.65,近4天资金净流入3天，累计净流入2.58亿元,False,20250331较20250331: 增加0户(0.00%)
601816.SH,京沪高铁,铁路,4,4,100.0,1.57,0.39,近4天资金净流入4天，累计净流入1.57亿元,False,20250331较20241231: 增加11782户(6.83%)
002311.SZ,海大集团,饲料,4,4,100.0,1.79,0.45,近4天资金净流入4天，累计净流入1.79亿元,True,20250331较20241231: 减少458户(2.13%)
603119.SH,浙江荣泰,汽车配件,3,4,75.0,1.14,0.29,近4天资金净流入3天，累计净流入1.14亿元,False,20250331较20241231: 增加5068户(33.81%)
002558.SZ,巨人网络,互联网,4,4,100.0,1.52,0.38,近4天资金净流入4天，累计净流入1.52亿元,False,20250331较20250331: 增加0户(0.00%)
603816.SH,顾家家居,家居用品,3,4,75.0,0.7,0.18,近4天资金净流入3天，累计净流入0.7亿元,False,20250331较20241231: 增加272户(1.35%)
600745.SH,闻泰科技,半导体,4,4,100.0,2.42,0.6,近4天资金净流入4天，累计净流入2.42亿元,False,20250331较20250331: 增加0户(0.00%)
688678.SH,福立旺,元器件,3,4,75.0,0.79,0.2,近4天资金净流入3天，累计净流入0.79亿元,False,20250418较20250410: 增加136户(1.78%)
002353.SZ,杰瑞股份,化工机械,3,4,75.0,0.09,0.02,近4天资金净流入3天，累计净流入0.09亿元,False,20250418较20250410: 增加5114户(15.49%)
000425.SZ,徐工机械,工程机械,4,4,100.0,2.73,0.68,近4天资金净流入4天，累计净流入2.73亿元,True,20250331较20241231: 减少13179户(10.80%)
000096.SZ,广聚能源,石油贸易,4,4,100.0,0.82,0.2,近4天资金净流入4天，累计净流入0.82亿元,False,20250331较20250331: 增加0户(0.00%)
600480.SH,凌云股份,汽车配件,3,4,75.0,0.85,0.21,近4天资金净流入3天，累计净流入0.85亿元,True,20250331较20241231: 减少7010户(16.76%)
603565.SH,中谷物流,水运,4,4,100.0,0.45,0.11,近4天资金净流入4天，累计净流入0.45亿元,False,20250331较20250331: 增加96户(0.47%)
002345.SZ,潮宏基,服饰,3,4,75.0,0.21,0.05,近4天资金净流入3天，累计净流入0.21亿元,True,20250331较20241231: 减少9653户(26.57%)
002937.SZ,兴瑞科技,元器件,3,4,75.0,0.82,0.2,近4天资金净流入3天，累计净流入0.82亿元,True,20250331较20241231: 减少5004户(26.36%)
